FD,FDH,PH,JJS,JCX,JYJ,JYC,JYK,HQSX,SJC,HXC,SHS,HYC,MC,,,,
68,31,65,60,0.43,47,24.8,0.9,0,0,21.5,46,0.24,4.7,,,,
84,47,62,50,0.5,67,23.7,0.8,0,1.5,17.7,35,0.28,4,,,,
79,42,66,60,0.5,62,19.5,1,27,0,19.3,45,0.3,4.7,,,,
88,51,63,45,0.53,50,20.3,0.9,23,2,17.5,31,0.28,4.2,,,,
76,39,51,50,0.47,58,16,0.8,0,0,13.8,33,0.27,3.7,,,,
75,38,83,70,0.5,63,20.3,0.8,27,3.2,23.2,44,0.32,3.8,,,,
102,65,61,50,0.53,42,20,0.7,20,2.7,17.7,27,0.3,4.5,,,,
68,31,71,35,0.63,60,23.3,0.9,0,0,22.3,53,0.3,5.8,,,,
70,33,55,40,0.47,10,13.3,0.7,0,0,15.5,30,0.28,3.2,,,,
91,54,83,50,0.5,65,23.7,1.1,27,5,23.7,47,0.3,5.8,,,,
82,45,62,40,0.4,68,20.7,0.8,0,4,19,35,0.27,5.5,,,,
67,30,73,50,0.5,58,23.7,1.1,45,0.5,22.5,43,0.33,5,,,,
68,31,64,40,0.43,47,19.7,0.7,0,3.8,19.7,34,0.3,4.3,,,,
69,32,66,50,0.5,53,18.3,0.9,23,3.5,20.7,54,0.37,6.3,,,,
68,31,73,45,0.53,50,22.8,0.9,32,7.3,21.2,33,0.34,6.3,,,,
80,43,64,50,0.5,53,22,0.8,27,1.3,16.3,31,0.3,3,,,,
82,45,76,50,0.7,53,22.8,1,12,0,20.3,56,0.24,2.5,,,,
70,33,70,35,0.43,62,15.8,0.8,28,4.5,18.3,42,0.31,3.7,,,,
83,46,57,50,0.5,58,20.7,0.7,0,1.8,15,34,0.23,4.2,,,,
88,51,72,50,0.47,58,16.3,0.7,0,3.8,20.7,26,0.33,6.3,,,,
79,42,66,50,0.63,63,26.7,1.1,27,0,21.2,51,0.3,5.7,,,,
90,53,61,50,0.5,63,25.7,0.9,18,0,22.5,35,0.27,5.3,,,,
71,34,57,60,0.5,50,24.8,1,0,3.3,17.7,38,0.3,3.2,,,,
73,36,59,35,0.57,33,21.7,1,0,0,17.7,59,0.25,3.7,,,,
87,50,70,65,0.47,58,22.8,1,25,4.8,21.3,34,0.33,5.7,,,,
68,31,67,45,0.47,52,19.7,0.9,0,3.5,18,32,0.33,4.7,,,,
81,44,56,45,0.3,83,19.3,0.8,0,0,16.3,29,0.25,2.7,,,,
76,39,62,50,0.47,30,24,0.8,0,0,20,35,0.31,4.7,,,,
71,34,67,45,0.5,63,23.7,0.9,0,1.7,17.7,51,0.24,3.7,,,,
81,44,73,50,0.47,70,21.7,1,17,0,24,51,0.3,3.7,,,,
68,31,69,35,0.5,53,19.7,0.8,23,2,18.5,42,0.27,4,,,,
92,55,73,70,0.53,57,25.5,1.1,23,0,20.8,53,0.25,6.3,,,,
81,44,75,60,0.5,53,27.5,1.1,32,5.2,20.5,53,0.3,2.7,,,,
